x,y
apexcharts.js,0
svg.draggable.js,1
svg.easing.js,1
svg.filter.js,1
svg.pathmorphing.js,1
svg.resize.js,1
svg.select.js,2
svg.js,6
axios,5
follow-redirects,2
form-data,4
proxy-from-env,2
@nextcloud/auth,7
core-js,25
tslib,16
asynckit,1
combined-stream,2
mime-types,11
delayed-stream,2
mime-db,3
card,0
node.extend,1
payment,1
qj,2
has,14
is,1
globalthis,2
define-properties,17
object-keys,3
has-property-descriptors,2
clipboard.js,0
good-listener,2
select,2
tiny-emitter,3
delegate,1
cz-cli,0
cachedir,2
cz-conventional-changelog,2
dedent,2
detect-indent,3
find-node-modules,2
find-root,3
fs-extra,19
glob,20
inquirer,2
is-utf8,2
lodash,42
minimist,14
strip-bom,4
strip-json-comments,6
chalk,46
commitizen,1
conventional-commit-types,1
lodash.map,1
longest,1
word-wrap,2
ansi-styles,3
supports-color,5
escape-string-regexp,7
has-ansi,1
strip-ansi,12
has-color,1
@types/color-name,1
color-convert,3
color-name,2
has-flag,2
repeating,1
findup-sync,3
merge,1
detect-file,1
is-glob,11
micromatch,10
resolve-dir,2
is-extglob,4
braces,2
picomatch,5
arr-diff,2
array-unique,4
define-property,11
extend-shallow,13
extglob,1
fragment-cache,3
kind-of,15
nanomatch,1
object.pick,3
regex-not,5
snapdragon,5
to-regex,5
expand-brackets,2
filename-regex,1
normalize-path,6
object.omit,1
parse-glob,1
regex-cache,1
fill-range,2
expand-range,1
preserve,1
repeat-element,2
arr-flatten,3
isobject,14
snapdragon-node,1
split-string,2
to-regex-range,1
is-number,4
randomatic,1
repeat-string,2
expand-tilde,3
global-modules,1
homedir-polyfill,3
parse-passwd,1
global-prefix,1
is-windows,3
ini,4
which,6
isexe,1
graceful-fs,17
jsonfile,1
universalify,3
at-least-node,1
@types/node,57
@types/jsonfile,2
fs.realpath,1
inflight,1
inherits,32
minimatch,24
once,6
path-is-absolute,4
path-type,4
@nodelib/fs.stat,3
@nodelib/fs.walk,3
glob-parent,5
merge2,3
@types/events,2
@types/minimatch,3
wrappy,2
brace-expansion,1
balanced-match,1
concat-map,1
pify,10
@nodelib/fs.scandir,1
fastq,1
run-parallel,1
queue-microtask,1
reusify,1
path-dirname,1
ansi-escapes,1
cli-cursor,2
cli-width,1
external-editor,1
figures,3
mute-stream,1
run-async,1
rxjs,1
string-width,10
through,2
ora,4
wrap-ansi,3
restore-cursor,1
onetime,3
signal-exit,4
mimic-fn,2
chardet,1
iconv-lite,11
tmp,5
safer-buffer,6
os-tmpdir,3
os-homedir,3
rimraf,14
object-assign,9
emoji-regex,1
is-fullwidth-code-point,1
code-point-at,1
ansi-regex,5
bl,3
cli-spinners,1
is-interactive,1
is-unicode-supported,2
log-symbols,2
wcwidth,1
buffer,9
readable-stream,30
safe-buffer,36
base64-js,3
ieee754,3
string_decoder,4
util-deprecate,3
core-util-is,2
isarray,4
process-nextick-args,1
abort-controller,3
events,4
process,4
defaults,1
clone,3
ecma262,0
ecmarkup,1
command-line-args,1
command-line-usage,1
dedent-js,1
ecmarkdown,1
eslint-formatter-codeframe,1
fast-glob,3
grammarkdown,1
highlight.js,1
html-escape,1
js-yaml,13
jsdom,3
nwsapi,2
parse5,2
prex,1
promise-debounce,1
array-back,4
find-replace,1
lodash.camelcase,1
typical,4
table-layout,1
deep-extend,2
wordwrapjs,1
reduce-flatten,1
escape-html,13
@babel/code-frame,8
@babel/highlight,1
@babel/helper-validator-identifier,5
js-tokens,3
@esfx/async-canceltoken,1
@esfx/cancelable,3
@esfx/collections-linkedlist,1
@esfx/disposable,3
@esfx/internal-guards,4
@esfx/internal-tag,2
@esfx/internal-deprecate,2
@esfx/type-model,1
@esfx/collection-core,1
@esfx/equatable,1
argparse,5
esprima,5
sprintf-js,3
abab,2
acorn,7
acorn-globals,1
cssom,2
cssstyle,1
data-urls,1
decimal.js,2
domexception,2
escodegen,2
html-encoding-sniffer,1
http-proxy-agent,4
https-proxy-agent,6
is-potential-custom-element-name,1
saxes,1
symbol-tree,1
tough-cookie,3
w3c-hr-time,1
w3c-xmlserializer,1
webidl-conversions,4
whatwg-encoding,2
whatwg-mimetype,2
whatwg-url,3
ws,8
xml-name-validator,3
array-equal,1
pn,1
request,3
request-promise-native,1
acorn-walk,3
lodash.sortby,1
tr46,1
punycode,4
estraverse,6
esutils,6
optionator,2
deep-is,1
fast-levenshtein,1
levn,2
prelude-ls,3
type-check,2
@tootallnate/once,3
agent-base,4
debug,69
ms,6
@types/ms,2
electron-is-dev,1
electron-localshortcut,1
@babel/helper-module-imports,6
@babel/helper-replace-supers,4
@babel/helper-simple-access,3
@babel/helper-split-export-declaration,5
@babel/template,7
@babel/traverse,10
@babel/types,30
@babel/helper-environment-visitor,8
xmlchars,1
psl,1
ip-regex,2
browser-process-hrtime,1
aws-sign2,1
aws4,1
caseless,1
extend,9
forever-agent,1
har-validator,1
http-signature,1
is-typedarray,3
isstream,1
json-stringify-safe,3
oauth-sign,1
performance-now,1
qs,5
tunnel-agent,3
uuid,9
@types/caseless,1
@types/tough-cookie,1
clone-response,2
get-stream,9
http-cache-semantics,3
keyv,2
lowercase-keys,4
normalize-url,3
responselike,3
ajv,10
har-schema,2
fast-deep-equal,3
fast-json-stable-stringify,2
json-schema-traverse,1
uri-js,1
require-from-string,1
assert-plus,6
jsprim,1
sshpk,1
extsprintf,2
json-schema,1
verror,1
asn1,1
bcrypt-pbkdf,1
dashdash,1
ecc-jsbn,1
getpass,1
jsbn,3
tweetnacl,3
request-promise-core,1
stealthy-require,1
framework,0
aurelia-binding,2
aurelia-dependency-injection,2
aurelia-loader,2
aurelia-logging,3
aurelia-metadata,5
aurelia-pal,6
aurelia-path,3
aurelia-task-queue,3
aurelia-templating,1
gopherjs,0
source-map-support,4
buffer-from,3
source-map,21
@jridgewell/gen-mapping,3
@jridgewell/trace-mapping,4
convert-source-map,7
inline-source-map,1
lodash.memoize,2
muggle-string,1
gpu.js,0
gl,1
gl-wiretap,1
gpu-mock.js,1
webgpu,1
bindings,3
bit-twiddle,1
glsl-tokenizer,1
nan,2
node-abi,2
node-gyp,1
prebuild-install,3
file-uri-to-path,2
through2,3
xtend,6
semver,41
lru-cache,8
yallist,5
pseudomap,2
env-paths,3
nopt,6
npmlog,3
tar,4
make-fetch-happen,1
is-descriptor,1
is-accessor-descriptor,1
is-data-descriptor,1
is-buffer,4
posix-character-classes,1
is-posix-bracket,1
