Package Name,sunday,monday,tuesday,wednesday,thursday,friday,saturday,normalized_sunday,normalized_monday,normalized_tuesday,normalized_wednesday,normalized_thursday,normalized_friday,normalized_saturday,
svg.draggable.js,0,2,1,1,1,1,1,0.0000,0.2857,0.1429,0.1429,0.1429,0.1429,0.1429
svg.easing.js,0,2,0,0,0,0,0,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
svg.filter.js,0,1,0,3,0,0,0,0.0000,0.2500,0.0000,0.7500,0.0000,0.0000,0.0000
svg.pathmorphing.js,0,1,1,0,0,2,0,0.0000,0.2500,0.2500,0.0000,0.0000,0.5000,0.0000
svg.resize.js,0,2,3,0,2,2,0,0.0000,0.2222,0.3333,0.0000,0.2222,0.2222,0.0000
svg.select.js,1,1,3,1,3,1,1,0.0909,0.0909,0.2727,0.0909,0.2727,0.0909,0.0909
svg.js,4,4,8,2,6,5,7,0.1111,0.1111,0.2222,0.0556,0.1667,0.1389,0.1944
axios,6,8,18,13,9,10,13,0.0779,0.1039,0.2338,0.1688,0.1169,0.1299,0.1688
follow-redirects,8,8,10,12,10,8,5,0.1311,0.1311,0.1639,0.1967,0.1639,0.1311,0.0820
form-data,4,8,7,6,7,4,2,0.1053,0.2105,0.1842,0.1579,0.1842,0.1053,0.0526
proxy-from-env,0,0,1,1,0,3,0,0.0000,0.0000,0.2000,0.2000,0.0000,0.6000,0.0000
@nextcloud/auth,0,1,1,3,3,4,0,0.0000,0.0833,0.0833,0.2500,0.2500,0.3333,0.0000
core-js,37,58,40,29,44,22,25,0.1451,0.2275,0.1569,0.1137,0.1725,0.0863,0.0980
tslib,0,3,9,7,7,9,3,0.0000,0.0789,0.2368,0.1842,0.1842,0.2368,0.0789
asynckit,0,0,1,0,3,0,0,0.0000,0.0000,0.2500,0.0000,0.7500,0.0000,0.0000
combined-stream,2,2,8,0,0,3,3,0.1111,0.1111,0.4444,0.0000,0.0000,0.1667,0.1667
mime-types,4,11,14,6,3,11,6,0.0727,0.2000,0.2545,0.1091,0.0545,0.2000,0.1091
delayed-stream,2,3,2,0,0,2,0,0.2222,0.3333,0.2222,0.0000,0.0000,0.2222,0.0000
mime-db,5,17,7,6,9,11,7,0.0806,0.2742,0.1129,0.0968,0.1452,0.1774,0.1129
card,6,14,5,3,5,0,5,0.1579,0.3684,0.1316,0.0789,0.1316,0.0000,0.1316
node.extend,5,4,7,3,4,2,0,0.2000,0.1600,0.2800,0.1200,0.1600,0.0800,0.0000
payment,8,19,2,1,4,4,2,0.2000,0.4750,0.0500,0.0250,0.1000,0.1000,0.0500
qj,2,5,0,0,0,4,0,0.1818,0.4545,0.0000,0.0000,0.0000,0.3636,0.0000
has,1,1,1,1,0,1,0,0.2000,0.2000,0.2000,0.2000,0.0000,0.2000,0.0000
is,6,5,6,2,3,3,6,0.1935,0.1613,0.1935,0.0645,0.0968,0.0968,0.1935
globalthis,1,0,1,0,0,1,1,0.2500,0.0000,0.2500,0.0000,0.0000,0.2500,0.2500
define-properties,2,0,1,2,2,2,0,0.2222,0.0000,0.1111,0.2222,0.2222,0.2222,0.0000
object-keys,7,4,6,6,4,2,4,0.2121,0.1212,0.1818,0.1818,0.1212,0.0606,0.1212
